"Customer","POS NO","PO NO","Standard","Destination","POS Receive Date","POS Delivery Date","Model/Type","Description","XXS","XS (48)","XS/S","S(50)","M(52)","L(54)","XL(56)","XXL","3XL","4XL","S/M","L/XL","Other"
"A.M.R INDUSTRY","62","SK2016/002","ECE","THAILAND","Wednesday, 30 March 2016","08 April 2016","VANDAL","SOLID WHITE","","","","6","8","4","","","","","","",""
"A.M.R INDUSTRY","35","SK2016/001.1","ECE","THAILAND","Friday, 04 March 2016","ASAP","APEX","ROLLING THUNDER","","","","1","3","2","1","1","1","","","",""
"A.M.R INDUSTRY","35","SK2016/001.1","ECE","THAILAND","Friday, 04 March 2016","ASAP","APEX","SAM","","","","1","3","2","1","1","1","","","",""
"A.M.R INDUSTRY","35","SK2016/001.1","ECE","THAILAND","Friday, 04 March 2016","ASAP","HALO","DRIFT YELLOW","","","","2","3","2","1","1","","","","",""
"A.M.R INDUSTRY","35","SK2016/001.1","ECE","THAILAND","Friday, 04 March 2016","ASAP","HALO","DRIFT RED","","","","2","3","2","1","1","","","","",""
"A.M.R INDUSTRY","35","SK2016/001.1","ECE","THAILAND","Friday, 04 March 2016","ASAP","HALO","PINBALL","","","","2","3","2","1","1","","","","",""
"A.M.R INDUSTRY","36","SK2016/001.2","ECE","THAILAND","Friday, 04 March 2016","ASAP","MR JUMP","SPECIAL YELLOW FLUO/BLACK","","","","1","2","3","1","1","","","","",""
"A.M.R INDUSTRY","35","SK2016/001.1","ECE","THAILAND","Friday, 04 March 2016","ASAP","HALO","BIAGGI REPLICA","","","","2","2","1","1","1","","","","",""
"A.M.R INDUSTRY","36","SK2016/001.2","ECE","THAILAND","Friday, 04 March 2016","ASAP","MR JUMP","SHOTS YELLOW","","","","1","3","2","1","","","","","",""
"A.M.R INDUSTRY","36","SK2016/001.2","ECE","THAILAND","Friday, 04 March 2016","ASAP","MR JUMP","SHOTS ORANGE","","","","1","2","3","1","","","","","",""
"A.M.R INDUSTRY","36","SK2016/001.2","ECE","THAILAND","Friday, 04 March 2016","ASAP","MR JUMP","BULLET","","","","1","2","2","1","","","","","",""
"A.M.R INDUSTRY","35","SK2016/001.1","ECE","THAILAND","Friday, 04 March 2016","ASAP","SR SPORT","BIAGGI REPLICA 2015 RED","","","","1","2","1","1","","","","","",""
"A.M.R INDUSTRY","36","SK2016.001.2","ECE","THAILAND","Friday, 04 March 2016","ASAP","ALPHA","SKULL RED","","","","2","1","2","","","","","","",""
"A.M.R INDUSTRY","36","SK2016/001.2","ECE","THAILAND","Friday, 04 March 2016","ASAP","MR JUMP","JACKPOT YELLOW","","","","","2","1","1","1","","","","",""
"A.M.R INDUSTRY","36","SK2016/001.2","ECE","THAILAND","Friday, 04 March 2016","ASAP","MR JUMP","SPECIAL WHITE/RED/BLUE","","","","","2","2","1","","","","","",""
"A.M.R INDUSTRY","35","SK2016/001.1","ECE","THAILAND","Friday, 04 March 2016","ASAP","SR SPORT","DOVIZIOSO REPLICA","","","","1","1","1","1","","","","","",""
"A.M.R INDUSTRY","35","SK2016/001.1","ECE","THAILAND","Friday, 04 March 2016","ASAP","SR SPORT","DOVIZIOSO REPLICA MUGELLO","","","","1","1","1","1","","","","","",""
"A.M.R INDUSTRY","35","SK2016/001.1","ECE","THAILAND","Friday, 04 March 2016","ASAP","SR SPORT","STARS MILITARY","","","","1","2","1","","","","","","",""
"A.M.R INDUSTRY","35","SK2016/001.1","ECE","THAILAND","Friday, 04 March 2016","ASAP","SR SPORT","GAMBLE TOP PLAYER","","","","","1","1","1","","","","","",""
"A.M.R INDUSTRY","35","SK2016/001.1","ECE","THAILAND","Friday, 04 March 2016","ASAP","SR SPORT","STARS ORANGE","","","","1","1","1","","","","","","",""
"A.M.R INDUSTRY","35","SK2016/001.1","ECE","THAILAND","Friday, 04 March 2016","ASAP","APEX","PIKE RED","","1","","1","1","","","","","","","",""
"A.M.R INDUSTRY","36","SK2016.001.2","ECE","THAILAND","Friday, 04 March 2016","ASAP","ALPHA","WARRIOR","","","","","2","1","","","","","","",""
"A.M.R INDUSTRY","36","SK2016.001.2","ECE","THAILAND","Friday, 04 March 2016","ASAP","ALPHA","PIXEL","","","","","2","1","","","","","","",""
"A.M.R INDUSTRY","35","SK2016/001.1","ECE","THAILAND","Friday, 04 March 2016","ASAP","SR SPORT","STARS YELLOW","","","","","1","1","","","","","","",""
"A.M.R INDUSTRY","35","SK2016/001.1","ECE","THAILAND","Friday, 04 March 2016","ASAP","APEX","PIKE GREY","","1","","1","","","","","","","","",""
"A.M.R INDUSTRY","35","SK2016/001.1","ECE","THAILAND","Friday, 04 March 2016","ASAP","MX TOURER","ROAD YELLOW","","","","","","1","1","","","","","",""
"A.M.R INDUSTRY","35","SK2016/001.1","ECE","THAILAND","Friday, 04 March 2016","ASAP","MX TOURER","ROAD ORANGE","","","","","","1","1","","","","","",""
