Customer,Standard,Destination,POS Receive Date,POS Delivery Date,Time Differences,Model/Type,Modification,Other,Receive Year,Delivery Year
AMR INDUSTRY,ECE,THAILAND,2016-03-04,2016-03-05,1 days 00:00:00.000000000,KIT MR JUMP,no,1,2016,2016
AMR INDUSTRY,ECE,THAILAND,2016-03-04,2016-03-05,1 days 00:00:00.000000000,KIT MR JUMP,no,1,2016,2016
AMR INDUSTRY,ECE,THAILAND,2016-03-04,2016-03-05,1 days 00:00:00.000000000,KIT MR JUMP,no,1,2016,2016
AMR INDUSTRY,ECE,THAILAND,2016-03-04,2016-03-05,1 days 00:00:00.000000000,KIT MR JUMP,no,1,2016,2016
AMR INDUSTRY,ECE,THAILAND,2016-03-04,2016-03-05,1 days 00:00:00.000000000,KIT APEX,no,2,2016,2016
AMR INDUSTRY,ECE,THAILAND,2016-03-04,2016-03-05,1 days 00:00:00.000000000,KIT APEX,no,2,2016,2016
AMR INDUSTRY,ECE,THAILAND,2016-03-04,2016-03-05,1 days 00:00:00.000000000,KIT SR SPORT,no,3,2016,2016
AMR INDUSTRY,ECE,THAILAND,2016-03-04,2016-03-05,1 days 00:00:00.000000000,KIT APEX,no,5,2016,2016
AMR INDUSTRY,ECE,THAILAND,2016-03-04,2016-03-05,1 days 00:00:00.000000000,KIT APEX,no,5,2016,2016
AMR INDUSTRY,ECE,THAILAND,2016-03-04,2016-03-05,1 days 00:00:00.000000000,KIT APEX,no,5,2016,2016
AMR INDUSTRY,ECE,THAILAND,2016-03-04,2016-03-05,1 days 00:00:00.000000000,KIT APEX,no,7,2016,2016
AMR INDUSTRY,ECE,THAILAND,2016-03-04,2016-03-05,1 days 00:00:00.000000000,KIT APEX,no,10,2016,2016
AMR INDUSTRY,ECE,THAILAND,2016-03-04,2016-03-05,1 days 00:00:00.000000000,KIT APEX,no,10,2016,2016
AMR INDUSTRY,ECE,THAILAND,2016-03-04,2016-03-05,1 days 00:00:00.000000000,KIT VANDAL,no,15,2016,2016
