Customer,Destination,Time Differences,Modification,XXS,XS (48),XS/S,S(50),M(52),L(54),XL(56),XXL,3XL,4XL,S/M,L/XL,Total Helmet,Receive Year,Delivery Year,Category
AMR INDUSTRY,THAILAND,9,no,0,0,0,6,8,4,0,0,0,0,0,0,18,2016,2016,3
AMR INDUSTRY,THAILAND,1,no,0,0,0,1,3,2,1,1,1,0,0,0,9,2016,2016,3
AMR INDUSTRY,THAILAND,1,no,0,0,0,1,3,2,1,1,1,0,0,0,9,2016,2016,3
AMR INDUSTRY,THAILAND,1,no,0,0,0,2,3,2,1,1,0,0,0,0,9,2016,2016,3
AMR INDUSTRY,THAILAND,1,no,0,0,0,2,3,2,1,1,0,0,0,0,9,2016,2016,3
AMR INDUSTRY,THAILAND,1,no,0,0,0,2,3,2,1,1,0,0,0,0,9,2016,2016,3
AMR INDUSTRY,THAILAND,1,no,0,0,0,1,2,3,1,1,0,0,0,0,8,2016,2016,3
AMR INDUSTRY,THAILAND,1,no,0,0,0,2,2,1,1,1,0,0,0,0,7,2016,2016,3
AMR INDUSTRY,THAILAND,1,no,0,0,0,1,3,2,1,0,0,0,0,0,7,2016,2016,3
AMR INDUSTRY,THAILAND,1,no,0,0,0,1,2,3,1,0,0,0,0,0,7,2016,2016,3
AMR INDUSTRY,THAILAND,1,no,0,0,0,1,2,2,1,0,0,0,0,0,6,2016,2016,3
AMR INDUSTRY,THAILAND,1,no,0,0,0,1,2,1,1,0,0,0,0,0,5,2016,2016,3
AMR INDUSTRY,THAILAND,1,no,0,0,0,2,1,2,0,0,0,0,0,0,5,2016,2016,3
AMR INDUSTRY,THAILAND,1,no,0,0,0,0,2,1,1,1,0,0,0,0,5,2016,2016,3
AMR INDUSTRY,THAILAND,1,no,0,0,0,0,2,2,1,0,0,0,0,0,5,2016,2016,3
AMR INDUSTRY,THAILAND,1,no,0,0,0,1,1,1,1,0,0,0,0,0,4,2016,2016,3
AMR INDUSTRY,THAILAND,1,no,0,0,0,1,1,1,1,0,0,0,0,0,4,2016,2016,3
AMR INDUSTRY,THAILAND,1,no,0,0,0,1,2,1,0,0,0,0,0,0,4,2016,2016,3
AMR INDUSTRY,THAILAND,1,no,0,0,0,0,1,1,1,0,0,0,0,0,3,2016,2016,3
AMR INDUSTRY,THAILAND,1,no,0,0,0,1,1,1,0,0,0,0,0,0,3,2016,2016,3
AMR INDUSTRY,THAILAND,1,no,0,1,0,1,1,0,0,0,0,0,0,0,3,2016,2016,3
AMR INDUSTRY,THAILAND,1,no,0,0,0,0,2,1,0,0,0,0,0,0,3,2016,2016,3
AMR INDUSTRY,THAILAND,1,no,0,0,0,0,2,1,0,0,0,0,0,0,3,2016,2016,3
AMR INDUSTRY,THAILAND,1,no,0,0,0,0,1,1,0,0,0,0,0,0,2,2016,2016,3
AMR INDUSTRY,THAILAND,1,no,0,1,0,1,0,0,0,0,0,0,0,0,2,2016,2016,3
AMR INDUSTRY,THAILAND,1,no,0,0,0,0,0,1,1,0,0,0,0,0,2,2016,2016,3
AMR INDUSTRY,THAILAND,1,no,0,0,0,0,0,1,1,0,0,0,0,0,2,2016,2016,3
AMR INDUSTRY,THAILAND,1,no,0,0,0,0,0,1,0,0,0,0,0,0,1,2016,2016,3
AMR INDUSTRY,THAILAND,1,no,0,0,0,0,1,0,0,0,0,0,0,0,1,2016,2016,3
AMR INDUSTRY,THAILAND,1,no,0,0,0,0,1,0,0,0,0,0,0,0,1,2016,2016,3
AMR INDUSTRY,THAILAND,1,no,0,0,0,0,0,1,0,0,0,0,0,0,1,2016,2016,3
AMR INDUSTRY,THAILAND,1,no,0,0,0,0,0,1,0,0,0,0,0,0,1,2016,2016,3
AMR INDUSTRY,THAILAND,1,no,0,0,0,0,1,0,0,0,0,0,0,0,1,2016,2016,3
AGV,ITALY,30,no,0,0,0,0,2,0,0,0,0,0,0,0,2,2016,2016,3
AGV,ITALY,30,no,0,0,0,0,2,0,0,0,0,0,0,0,2,2016,2016,3
